100|Shopping|0.00|5000.00|7-2023|10000.00|5000.00
100|PM|8000.00|0.00|7-2023|5000.00|13000.00
100|Shopping|0.00|3000.00|7-2023|13000.00|10000.00
100|Flipkart|0.00|5000.00|9-2024|10000.00|5000.00
101|Bad|4000.00|0.00|6-2023|10000.00|14000.00
101|Desc|5000.00|0.00|7-2023|14000.00|19000.00
101|Hospital|0.00|1200.00|7-2023|19000.00|17800.00
125|Chocolates|0.00|2000.00|7-2023|10000.00|8000.00
200|Aon|2000.00|0.00|6-2023|10000.00|12000.00
200|Dress|0.00|400.00|6-2023|12000.00|11600.00
444|bang|600.00|0.00|7-2023|10000.00|10600.00
444|minus|0.00|500.00|7-2023|10600.00|10100.00
